"Año","Trimestre","Provincia","Número de denuncias por violencia de género"
"Año 2009","Segundo","Albacete","207.0"
"Año 2009","Segundo","Ciudad Real","274.0"
"Año 2009","Segundo","Cuenca","116.0"
"Año 2009","Segundo","Guadalajara","409.0"
"Año 2009","Segundo","Toledo","412.0"
"Año 2009","Segundo","Barcelona","2969.0"
"Año 2009","Segundo","Girona","525.0"
"Año 2009","Segundo","Lleida","292.0"
"Año 2009","Segundo","Tarragona","794.0"
"Año 2009","Segundo","Alicante/Alacant","2025.0"
"Año 2009","Segundo","Castellón/Castelló","461.0"
"Año 2009","Segundo","Valencia/València","2448.0"
"Año 2009","Segundo","Badajoz","272.0"
"Año 2009","Segundo","Cáceres","115.0"
"Año 2009","Segundo","A Coruña","647.0"
"Año 2009","Segundo","Lugo","175.0"
"Año 2009","Segundo","Ourense","169.0"
"Año 2009","Segundo","Pontevedra","596.0"
"Año 2009","Segundo","Madrid","5427.0"
"Año 2009","Segundo","Murcia","1595.0"
"Año 2009","Segundo","Navarra","260.0"
"Año 2009","Segundo","Araba/Álava","215.0"
"Año 2009","Segundo","Gipuzkoa","295.0"
"Año 2009","Segundo","Bizkaia","658.0"
"Año 2009","Segundo","La Rioja","189.0"
"Año 2009","Segundo","Ceuta","84.0"
"Año 2009","Segundo","Melilla","97.0"
"Año 2009","Tercero","Almería","665.0"
"Año 2009","Tercero","Cádiz","1098.0"
"Año 2009","Tercero","Córdoba","433.0"
"Año 2009","Tercero","Granada","1055.0"
"Año 2009","Tercero","Huelva","501.0"
"Año 2009","Tercero","Jaén","451.0"
"Año 2009","Tercero","Málaga","1347.0"
"Año 2009","Tercero","Sevilla","1704.0"
"Año 2009","Tercero","Huesca","101.0"
"Año 2009","Tercero","Teruel","37.0"
"Año 2009","Tercero","Zaragoza","682.0"
"Año 2009","Tercero","Asturias","696.0"
"Año 2009","Tercero","Illes Balears","1203.0"
"Año 2009","Tercero","Las Palmas","1309.0"
"Año 2009","Tercero","Santa Cruz de Tenerife","972.0"
"Año 2009","Tercero","Cantabria","326.0"
"Año 2009","Tercero","Ávila","114.0"
"Año 2009","Tercero","Burgos","202.0"
"Año 2009","Tercero","León","142.0"
"Año 2009","Tercero","Palencia","64.0"
"Año 2009","Tercero","Salamanca","150.0"
"Año 2009","Tercero","Segovia","77.0"
"Año 2009","Tercero","Soria","38.0"
"Año 2009","Tercero","Valladolid","268.0"
"Año 2009","Tercero","Zamora","73.0"
"Año 2009","Tercero","Albacete","269.0"
"Año 2009","Tercero","Ciudad Real","296.0"
"Año 2009","Tercero","Cuenca","99.0"
"Año 2009","Tercero","Guadalajara","245.0"
"Año 2009","Tercero","Toledo","441.0"
"Año 2009","Tercero","Barcelona","3147.0"
"Año 2009","Tercero","Girona","575.0"
"Año 2009","Tercero","Lleida","299.0"
"Año 2009","Tercero","Tarragona","707.0"
"Año 2009","Tercero","Alicante/Alacant","2024.0"
"Año 2009","Tercero","Castellón/Castelló","484.0"
"Año 2009","Tercero","Valencia/València","2546.0"
"Año 2009","Tercero","Badajoz","301.0"
"Año 2009","Tercero","Cáceres","156.0"
"Año 2009","Tercero","A Coruña","637.0"
"Año 2009","Tercero","Lugo","170.0"
"Año 2009","Tercero","Ourense","127.0"
"Año 2009","Tercero","Pontevedra","659.0"
"Año 2009","Tercero","Madrid","5013.0"
"Año 2009","Tercero","Murcia","1574.0"
"Año 2009","Tercero","Navarra","383.0"
"Año 2009","Tercero","Araba/Álava","140.0"
"Año 2009","Tercero","Gipuzkoa","263.0"
"Año 2009","Tercero","Bizkaia","558.0"
"Año 2009","Tercero","La Rioja","239.0"
"Año 2009","Tercero","Ceuta","112.0"
"Año 2009","Tercero","Melilla","98.0"
"Año 2009","Cuarto","Almería","545.0"
"Año 2009","Cuarto","Cádiz","860.0"
"Año 2009","Cuarto","Córdoba","200.0"
"Año 2009","Cuarto","Granada","774.0"
"Año 2009","Cuarto","Huelva","407.0"
"Año 2009","Cuarto","Jaén","345.0"
"Año 2009","Cuarto","Málaga","1025.0"
"Año 2009","Cuarto","Sevilla","1360.0"
"Año 2009","Cuarto","Huesca","85.0"
"Año 2009","Cuarto","Teruel","36.0"
"Año 2009","Cuarto","Zaragoza","470.0"
"Año 2009","Cuarto","Asturias","505.0"
"Año 2009","Cuarto","Illes Balears","1016.0"
"Año 2009","Cuarto","Las Palmas","1334.0"
"Año 2009","Cuarto","Santa Cruz de Tenerife","946.0"
"Año 2009","Cuarto","Cantabria","293.0"
"Año 2009","Cuarto","Ávila","87.0"
"Año 2009","Cuarto","Burgos","198.0"
"Año 2009","Cuarto","León","173.0"
"Año 2009","Cuarto","Palencia","67.0"
"Año 2009","Cuarto","Salamanca","130.0"
"Año 2009","Cuarto","Segovia","60.0"
"Año 2009","Cuarto","Soria","32.0"
"Año 2009","Cuarto","Valladolid","232.0"
"Año 2009","Cuarto","Zamora","66.0"
"Año 2009","Cuarto","Albacete","237.0"
"Año 2009","Cuarto","Ciudad Real","245.0"
"Año 2009","Cuarto","Cuenca","92.0"
"Año 2009","Cuarto","Guadalajara","381.0"
"Año 2009","Cuarto","Toledo","369.0"
"Año 2009","Cuarto","Barcelona","3152.0"
"Año 2009","Cuarto","Girona","488.0"
"Año 2009","Cuarto","Lleida","248.0"
"Año 2009","Cuarto","Tarragona","634.0"
"Año 2009","Cuarto","Alicante/Alacant","1813.0"
"Año 2009","Cuarto","Castellón/Castelló","380.0"
"Año 2009","Cuarto","Valencia/València","2404.0"
"Año 2009","Cuarto","Badajoz","288.0"
"Año 2009","Cuarto","Cáceres","101.0"
"Año 2009","Cuarto","A Coruña","588.0"
"Año 2009","Cuarto","Lugo","101.0"
"Año 2009","Cuarto","Ourense","125.0"
"Año 2009","Cuarto","Pontevedra","652.0"
"Año 2009","Cuarto","Madrid","4994.0"
"Año 2009","Cuarto","Murcia","1528.0"
"Año 2009","Cuarto","Navarra","335.0"
"Año 2009","Cuarto","Araba/Álava","194.0"
"Año 2009","Cuarto","Gipuzkoa","204.0"
"Año 2009","Cuarto","Bizkaia","503.0"
"Año 2009","Cuarto","La Rioja","174.0"
"Año 2009","Cuarto","Ceuta","74.0"
"Año 2009","Cuarto","Melilla","81.0"
"Año 2010","Primero","Almería","638.0"
"Año 2010","Primero","Cádiz","810.0"
"Año 2010","Primero","Córdoba","256.0"
"Año 2010","Primero","Granada","908.0"
"Año 2010","Primero","Huelva","430.0"
"Año 2010","Primero","Jaén","332.0"
"Año 2010","Primero","Málaga","1320.0"
"Año 2010","Primero","Sevilla","1578.0"
"Año 2010","Primero","Huesca","76.0"
"Año 2010","Primero","Teruel","43.0"
"Año 2010","Primero","Zaragoza","429.0"
"Año 2010","Primero","Asturias","554.0"
"Año 2010","Primero","Illes Balears","991.0"
"Año 2010","Primero","Las Palmas","1299.0"
"Año 2010","Primero","Santa Cruz de Tenerife","888.0"
"Año 2010","Primero","Cantabria","301.0"
"Año 2010","Primero","Ávila","122.0"
"Año 2010","Primero","Burgos","186.0"
"Año 2010","Primero","León","241.0"
"Año 2010","Primero","Palencia","73.0"
"Año 2010","Primero","Salamanca","126.0"
"Año 2010","Primero","Segovia","45.0"
"Año 2010","Primero","Soria","31.0"
"Año 2010","Primero","Valladolid","242.0"
"Año 2010","Primero","Zamora","64.0"
"Año 2010","Primero","Albacete","199.0"
"Año 2010","Primero","Ciudad Real","274.0"
"Año 2010","Primero","Cuenca","100.0"
"Año 2010","Primero","Guadalajara","405.0"
"Año 2010","Primero","Toledo","406.0"
"Año 2010","Primero","Barcelona","3140.0"
"Año 2010","Primero","Girona","499.0"
"Año 2010","Primero","Lleida","203.0"
"Año 2010","Primero","Tarragona","700.0"
"Año 2010","Primero","Alicante/Alacant","1614.0"
"Año 2010","Primero","Castellón/Castelló","422.0"
"Año 2010","Primero","Valencia/València","2537.0"
"Año 2010","Primero","Badajoz","289.0"
"Año 2010","Primero","Cáceres","172.0"
"Año 2010","Primero","A Coruña","551.0"
"Año 2010","Primero","Lugo","121.0"
"Año 2010","Primero","Ourense","142.0"
"Año 2010","Primero","Pontevedra","611.0"
"Año 2010","Primero","Madrid","5061.0"
"Año 2010","Primero","Murcia","1443.0"
"Año 2010","Primero","Navarra","357.0"
"Año 2010","Primero","Araba/Álava","180.0"
"Año 2010","Primero","Gipuzkoa","248.0"
"Año 2010","Primero","Bizkaia","528.0"
"Año 2010","Primero","La Rioja","129.0"
"Año 2010","Primero","Ceuta","80.0"
"Año 2010","Primero","Melilla","102.0"
"Año 2010","Segundo","Almería","680.0"
"Año 2010","Segundo","Cádiz","960.0"
"Año 2010","Segundo","Córdoba","282.0"
"Año 2010","Segundo","Granada","944.0"
"Año 2010","Segundo","Huelva","465.0"
"Año 2010","Segundo","Jaén","398.0"
"Año 2010","Segundo","Málaga","1549.0"
"Año 2010","Segundo","Sevilla","1718.0"
"Año 2010","Segundo","Huesca","96.0"
"Año 2010","Segundo","Teruel","46.0"
"Año 2010","Segundo","Zaragoza","540.0"
"Año 2010","Segundo","Asturias","493.0"
"Año 2010","Segundo","Illes Balears","1138.0"
"Año 2010","Segundo","Las Palmas","1123.0"
"Año 2010","Segundo","Santa Cruz de Tenerife","859.0"
"Año 2010","Segundo","Cantabria","321.0"
"Año 2010","Segundo","Ávila","114.0"
"Año 2010","Segundo","Burgos","159.0"
"Año 2010","Segundo","León","158.0"
"Año 2010","Segundo","Palencia","83.0"
"Año 2010","Segundo","Salamanca","133.0"
"Año 2010","Segundo","Segovia","57.0"
"Año 2010","Segundo","Soria","28.0"
"Año 2010","Segundo","Valladolid","274.0"
"Año 2010","Segundo","Zamora","58.0"
"Año 2010","Segundo","Albacete","267.0"
"Año 2010","Segundo","Ciudad Real","307.0"
"Año 2010","Segundo","Cuenca","112.0"
"Año 2010","Segundo","Guadalajara","369.0"
"Año 2010","Segundo","Toledo","386.0"
"Año 2010","Segundo","Barcelona","3231.0"
"Año 2010","Segundo","Girona","548.0"
"Año 2010","Segundo","Lleida","245.0"
"Año 2010","Segundo","Tarragona","771.0"
"Año 2010","Segundo","Alicante/Alacant","1754.0"
"Año 2010","Segundo","Castellón/Castelló","477.0"
"Año 2010","Segundo","Valencia/València","2621.0"
"Año 2010","Segundo","Badajoz","361.0"
"Año 2010","Segundo","Cáceres","140.0"
"Año 2010","Segundo","A Coruña","432.0"
"Año 2010","Segundo","Lugo","127.0"
"Año 2010","Segundo","Ourense","137.0"
"Año 2010","Segundo","Pontevedra","581.0"
"Año 2010","Segundo","Madrid","5661.0"
"Año 2010","Segundo","Murcia","1430.0"
"Año 2010","Segundo","Navarra","364.0"
"Año 2010","Segundo","Araba/Álava","189.0"
"Año 2010","Segundo","Gipuzkoa","258.0"
"Año 2010","Segundo","Bizkaia","482.0"
"Año 2010","Segundo","La Rioja","152.0"
"Año 2010","Segundo","Ceuta","73.0"
"Año 2010","Segundo","Melilla","105.0"
"Año 2010","Tercero","Almería","780.0"
"Año 2010","Tercero","Cádiz","1039.0"
"Año 2010","Tercero","Córdoba","264.0"
"Año 2010","Tercero","Granada","929.0"
"Año 2010","Tercero","Huelva","414.0"
"Año 2010","Tercero","Jaén","435.0"
"Año 2010","Tercero","Málaga","1324.0"
"Año 2010","Tercero","Sevilla","1918.0"
"Año 2010","Tercero","Huesca","93.0"
"Año 2010","Tercero","Teruel","65.0"
"Año 2010","Tercero","Zaragoza","583.0"
"Año 2010","Tercero","Asturias","594.0"
"Año 2010","Tercero","Illes Balears","1200.0"
"Año 2010","Tercero","Las Palmas","1176.0"
"Año 2010","Tercero","Santa Cruz de Tenerife","932.0"
"Año 2010","Tercero","Cantabria","344.0"
"Año 2010","Tercero","Ávila","100.0"
"Año 2010","Tercero","Burgos","161.0"
"Año 2010","Tercero","León","239.0"
"Año 2010","Tercero","Palencia","75.0"
"Año 2010","Tercero","Salamanca","136.0"
"Año 2010","Tercero","Segovia","76.0"
"Año 2010","Tercero","Soria","39.0"
"Año 2010","Tercero","Valladolid","272.0"
"Año 2010","Tercero","Zamora","74.0"
"Año 2010","Tercero","Albacete","225.0"
"Año 2010","Tercero","Ciudad Real","345.0"
"Año 2010","Tercero","Cuenca","117.0"
"Año 2010","Tercero","Guadalajara","376.0"
"Año 2010","Tercero","Toledo","407.0"
"Año 2010","Tercero","Barcelona","3436.0"
"Año 2010","Tercero","Girona","635.0"
"Año 2010","Tercero","Lleida","268.0"
"Año 2010","Tercero","Tarragona","817.0"
"Año 2010","Tercero","Alicante/Alacant","2113.0"
"Año 2010","Tercero","Castellón/Castelló","581.0"
"Año 2010","Tercero","Valencia/València","2672.0"
"Año 2010","Tercero","Badajoz","265.0"
"Año 2010","Tercero","Cáceres","188.0"
"Año 2010","Tercero","A Coruña","538.0"
"Año 2010","Tercero","Lugo","146.0"
"Año 2010","Tercero","Ourense","261.0"
"Año 2010","Tercero","Pontevedra","493.0"
"Año 2010","Tercero","Madrid","5547.0"
"Año 2010","Tercero","Murcia","1416.0"
"Año 2010","Tercero","Navarra","402.0"
"Año 2010","Tercero","Araba/Álava","205.0"
"Año 2010","Tercero","Gipuzkoa","285.0"
"Año 2010","Tercero","Bizkaia","459.0"
"Año 2010","Tercero","La Rioja","203.0"
"Año 2010","Tercero","Ceuta","67.0"
"Año 2010","Tercero","Melilla","82.0"
"Año 2010","Cuarto","Almería","654.0"
"Año 2010","Cuarto","Cádiz","994.0"
"Año 2010","Cuarto","Córdoba","224.0"
"Año 2010","Cuarto","Granada","902.0"
"Año 2010","Cuarto","Huelva","403.0"
"Año 2010","Cuarto","Jaén","366.0"
"Año 2010","Cuarto","Málaga","1324.0"
"Año 2010","Cuarto","Sevilla","1809.0"
"Año 2010","Cuarto","Huesca","69.0"
"Año 2010","Cuarto","Teruel","29.0"
"Año 2010","Cuarto","Zaragoza","504.0"
"Año 2010","Cuarto","Asturias","506.0"
"Año 2010","Cuarto","Illes Balears","902.0"
"Año 2010","Cuarto","Las Palmas","1131.0"
"Año 2010","Cuarto","Santa Cruz de Tenerife","918.0"
"Año 2010","Cuarto","Cantabria","265.0"
"Año 2010","Cuarto","Ávila","109.0"
"Año 2010","Cuarto","Burgos","147.0"
"Año 2010","Cuarto","León","180.0"
"Año 2010","Cuarto","Palencia","84.0"
"Año 2010","Cuarto","Salamanca","109.0"
"Año 2010","Cuarto","Segovia","53.0"
"Año 2010","Cuarto","Soria","39.0"
"Año 2010","Cuarto","Valladolid","267.0"
"Año 2010","Cuarto","Zamora","73.0"
"Año 2010","Cuarto","Albacete","251.0"
"Año 2010","Cuarto","Ciudad Real","245.0"
"Año 2010","Cuarto","Cuenca","118.0"
"Año 2010","Cuarto","Guadalajara","402.0"
"Año 2010","Cuarto","Toledo","354.0"
"Año 2010","Cuarto","Barcelona","2975.0"
"Año 2010","Cuarto","Girona","493.0"
"Año 2010","Cuarto","Lleida","209.0"
"Año 2010","Cuarto","Tarragona","696.0"
"Año 2010","Cuarto","Alicante/Alacant","1665.0"
"Año 2010","Cuarto","Castellón/Castelló","428.0"
"Año 2010","Cuarto","Valencia/València","2485.0"
"Año 2010","Cuarto","Badajoz","222.0"
"Año 2010","Cuarto","Cáceres","141.0"
"Año 2010","Cuarto","A Coruña","476.0"
"Año 2010","Cuarto","Lugo","108.0"
"Año 2010","Cuarto","Ourense","145.0"
"Año 2010","Cuarto","Pontevedra","401.0"
"Año 2010","Cuarto","Madrid","4926.0"
"Año 2010","Cuarto","Murcia","1224.0"
"Año 2010","Cuarto","Navarra","347.0"
"Año 2010","Cuarto","Araba/Álava","189.0"
"Año 2010","Cuarto","Gipuzkoa","234.0"
"Año 2010","Cuarto","Bizkaia","434.0"
"Año 2010","Cuarto","La Rioja","176.0"
"Año 2010","Cuarto","Ceuta","53.0"
"Año 2010","Cuarto","Melilla","84.0"
"Año 2011","Primero","Almería","677.0"
"Año 2011","Primero","Cádiz","862.0"
"Año 2011","Primero","Córdoba","402.0"
"Año 2011","Primero","Granada","894.0"
"Año 2011","Primero","Huelva","393.0"
"Año 2011","Primero","Jaén","378.0"
"Año 2011","Primero","Málaga","1263.0"
"Año 2011","Primero","Sevilla","1848.0"
"Año 2011","Primero","Huesca","103.0"
"Año 2011","Primero","Teruel","43.0"
"Año 2011","Primero","Zaragoza","619.0"
"Año 2011","Primero","Asturias","610.0"
"Año 2011","Primero","Illes Balears","1032.0"
"Año 2011","Primero","Las Palmas","1088.0"
"Año 2011","Primero","Santa Cruz de Tenerife","859.0"
"Año 2011","Primero","Cantabria","262.0"
"Año 2011","Primero","Ávila","104.0"
"Año 2011","Primero","Burgos","183.0"
"Año 2011","Primero","León","216.0"
"Año 2011","Primero","Palencia","88.0"
"Año 2011","Primero","Salamanca","120.0"
"Año 2011","Primero","Segovia","46.0"
"Año 2011","Primero","Soria","38.0"
"Año 2011","Primero","Valladolid","345.0"
"Año 2011","Primero","Zamora","62.0"
"Año 2011","Primero","Albacete","191.0"
"Año 2011","Primero","Ciudad Real","288.0"
"Año 2011","Primero","Cuenca","139.0"
"Año 2011","Primero","Guadalajara","394.0"
"Año 2011","Primero","Toledo","313.0"
"Año 2011","Primero","Barcelona","2939.0"
"Año 2011","Primero","Girona","504.0"
"Año 2011","Primero","Lleida","201.0"
"Año 2011","Primero","Tarragona","652.0"
"Año 2011","Primero","Alicante/Alacant","1784.0"
"Año 2011","Primero","Castellón/Castelló","395.0"
"Año 2011","Primero","Valencia/València","2443.0"
"Año 2011","Primero","Badajoz","284.0"
"Año 2011","Primero","Cáceres","158.0"
"Año 2011","Primero","A Coruña","505.0"
"Año 2011","Primero","Lugo","158.0"
"Año 2011","Primero","Ourense","158.0"
"Año 2011","Primero","Pontevedra","542.0"
"Año 2011","Primero","Madrid","4913.0"
"Año 2011","Primero","Murcia","1334.0"
"Año 2011","Primero","Navarra","344.0"
"Año 2011","Primero","Araba/Álava","172.0"
"Año 2011","Primero","Gipuzkoa","290.0"
"Año 2011","Primero","Bizkaia","505.0"
"Año 2011","Primero","La Rioja","177.0"
"Año 2011","Primero","Ceuta","103.0"
"Año 2011","Primero","Melilla","71.0"
"Año 2011","Segundo","Almería","665.0"
"Año 2011","Segundo","Cádiz","813.0"
"Año 2011","Segundo","Córdoba","292.0"
"Año 2011","Segundo","Granada","868.0"
"Año 2011","Segundo","Huelva","409.0"
"Año 2011","Segundo","Jaén","339.0"
"Año 2011","Segundo","Málaga","1543.0"
"Año 2011","Segundo","Sevilla","2140.0"
"Año 2011","Segundo","Huesca","121.0"
"Año 2011","Segundo","Teruel","56.0"
"Año 2011","Segundo","Zaragoza","679.0"
"Año 2011","Segundo","Asturias","678.0"
"Año 2011","Segundo","Illes Balears","1071.0"
"Año 2011","Segundo","Las Palmas","1231.0"
"Año 2011","Segundo","Santa Cruz de Tenerife","906.0"
"Año 2011","Segundo","Cantabria","290.0"
"Año 2011","Segundo","Ávila","68.0"
"Año 2011","Segundo","Burgos","159.0"
"Año 2011","Segundo","León","214.0"
"Año 2011","Segundo","Palencia","69.0"
"Año 2011","Segundo","Salamanca","124.0"
"Año 2011","Segundo","Segovia","49.0"
"Año 2011","Segundo","Soria","34.0"
"Año 2011","Segundo","Valladolid","357.0"
"Año 2011","Segundo","Zamora","74.0"
"Año 2011","Segundo","Albacete","211.0"
"Año 2011","Segundo","Ciudad Real","344.0"
"Año 2011","Segundo","Cuenca","146.0"
"Año 2011","Segundo","Guadalajara","177.0"
"Año 2011","Segundo","Toledo","378.0"
"Año 2011","Segundo","Barcelona","3079.0"
"Año 2011","Segundo","Girona","532.0"
"Año 2011","Segundo","Lleida","245.0"
"Año 2011","Segundo","Tarragona","617.0"
"Año 2011","Segundo","Alicante/Alacant","1869.0"
"Año 2011","Segundo","Castellón/Castelló","385.0"
"Año 2011","Segundo","Valencia/València","2488.0"
"Año 2011","Segundo","Badajoz","384.0"
"Año 2011","Segundo","Cáceres","131.0"
"Año 2011","Segundo","A Coruña","573.0"
"Año 2011","Segundo","Lugo","139.0"
"Año 2011","Segundo","Ourense","123.0"
"Año 2011","Segundo","Pontevedra","515.0"
"Año 2011","Segundo","Madrid","5443.0"
"Año 2011","Segundo","Murcia","1546.0"
"Año 2011","Segundo","Navarra","375.0"
"Año 2011","Segundo","Araba/Álava","223.0"
"Año 2011","Segundo","Gipuzkoa","313.0"
"Año 2011","Segundo","Bizkaia","511.0"
"Año 2011","Segundo","La Rioja","183.0"
"Año 2011","Segundo","Ceuta","78.0"
"Año 2011","Segundo","Melilla","90.0"
"Año 2011","Tercero","Almería","530.0"
"Año 2011","Tercero","Cádiz","924.0"
"Año 2011","Tercero","Córdoba","272.0"
"Año 2011","Tercero","Granada","896.0"
"Año 2011","Tercero","Huelva","321.0"
"Año 2011","Tercero","Jaén","385.0"
"Año 2011","Tercero","Málaga","1702.0"
"Año 2011","Tercero","Sevilla","2025.0"
"Año 2011","Tercero","Huesca","86.0"
"Año 2011","Tercero","Teruel","35.0"
"Año 2011","Tercero","Zaragoza","792.0"
"Año 2011","Tercero","Asturias","697.0"
"Año 2011","Tercero","Illes Balears","1190.0"
"Año 2011","Tercero","Las Palmas","1215.0"
"Año 2011","Tercero","Santa Cruz de Tenerife","1025.0"
"Año 2011","Tercero","Cantabria","313.0"
"Año 2011","Tercero","Ávila","88.0"
"Año 2011","Tercero","Burgos","176.0"
"Año 2011","Tercero","León","216.0"
"Año 2011","Tercero","Palencia","71.0"
"Año 2011","Tercero","Salamanca","129.0"
"Año 2011","Tercero","Segovia","66.0"
"Año 2011","Tercero","Soria","29.0"
"Año 2011","Tercero","Valladolid","400.0"
"Año 2011","Tercero","Zamora","88.0"
"Año 2011","Tercero","Albacete","265.0"
"Año 2011","Tercero","Ciudad Real","324.0"
"Año 2011","Tercero","Cuenca","147.0"
"Año 2011","Tercero","Guadalajara","191.0"
"Año 2011","Tercero","Toledo","349.0"
"Año 2011","Tercero","Barcelona","3655.0"
"Año 2011","Tercero","Girona","547.0"
"Año 2011","Tercero","Lleida","261.0"
"Año 2011","Tercero","Tarragona","737.0"
"Año 2011","Tercero","Alicante/Alacant","2001.0"
"Año 2011","Tercero","Castellón/Castelló","452.0"
"Año 2011","Tercero","Valencia/València","2378.0"
"Año 2011","Tercero","Badajoz","382.0"
"Año 2011","Tercero","Cáceres","157.0"
"Año 2011","Tercero","A Coruña","395.0"
"Año 2011","Tercero","Lugo","139.0"
"Año 2011","Tercero","Ourense","145.0"
"Año 2011","Tercero","Pontevedra","620.0"
"Año 2011","Tercero","Madrid","5324.0"
"Año 2011","Tercero","Murcia","1575.0"
"Año 2011","Tercero","Navarra","407.0"
"Año 2011","Tercero","Araba/Álava","210.0"
"Año 2011","Tercero","Gipuzkoa","280.0"
"Año 2011","Tercero","Bizkaia","464.0"
"Año 2011","Tercero","La Rioja","173.0"
"Año 2011","Tercero","Ceuta","89.0"
"Año 2011","Tercero","Melilla","84.0"
"Año 2011","Cuarto","Almería","485.0"
"Año 2011","Cuarto","Cádiz","828.0"
"Año 2011","Cuarto","Córdoba","258.0"
"Año 2011","Cuarto","Granada","689.0"
"Año 2011","Cuarto","Huelva","343.0"
"Año 2011","Cuarto","Jaén","320.0"
"Año 2011","Cuarto","Málaga","1473.0"
"Año 2011","Cuarto","Sevilla","1813.0"
"Año 2011","Cuarto","Huesca","68.0"
"Año 2011","Cuarto","Teruel","35.0"
"Año 2011","Cuarto","Zaragoza","755.0"
"Año 2011","Cuarto","Asturias","671.0"
"Año 2011","Cuarto","Illes Balears","1124.0"
"Año 2011","Cuarto","Las Palmas","1000.0"
"Año 2011","Cuarto","Santa Cruz de Tenerife","725.0"
"Año 2011","Cuarto","Cantabria","303.0"
"Año 2011","Cuarto","Ávila","72.0"
"Año 2011","Cuarto","Burgos","158.0"
"Año 2011","Cuarto","León","201.0"
"Año 2011","Cuarto","Palencia","62.0"
"Año 2011","Cuarto","Salamanca","96.0"
"Año 2011","Cuarto","Segovia","48.0"
"Año 2011","Cuarto","Soria","27.0"
"Año 2011","Cuarto","Valladolid","391.0"
"Año 2011","Cuarto","Zamora","94.0"
"Año 2011","Cuarto","Albacete","217.0"
"Año 2011","Cuarto","Ciudad Real","187.0"
"Año 2011","Cuarto","Cuenca","175.0"
"Año 2011","Cuarto","Guadalajara","217.0"
"Año 2011","Cuarto","Toledo","257.0"
"Año 2011","Cuarto","Barcelona","3188.0"
